ID,Texto do aluno,Devolutiva,FM01,FM02,FM03,FM04,FM05,FM06,FM07,FM08,MTL,Observações
R11,"Resenha de A Cartomante: Camilo vivia angustiado com os bilhetes anônimos. Por isso, procurou a cartomante, que leu as cartas e o tranquilizou. Saiu de lá aliviado e seguiu para a casa do amigo. Quando chegou, porém, encontrou Vilela à sua espera. A previsão, afinal, não o havia salvado.","O texto tem uma boa estrutura narrativa com início, meio e fim. O personagem principal, Camilo, passa por um conflito que é resolvido de forma inesperada.

1. Como você acha que o destino pode interferir em nossas vidas?

2. Qual mensagem você extraí dos desfechos da história?",,,,,,,,,,
R12,Minha opinião sobre O Alienista: A Casa Verde foi importante. Foi muito grande. O povo de Itaguaí tinha medo. Bacamarte estudava muito. A ciência dele era estranha. As pessoas se revoltaram um dia.,"Você demonstrou uma boa compreensão do livro e mencionou vários pontos importantes, como a importância da Casa Verde e o quanto ela era grande. Também notou que o povo de Itaguaí estava com medo dela, Bacamarte estudava muito e as pessoas se revoltaram um dia.

1. Você acha que a revolta das pessoas foi motivada por vários fatores? Como você imagina que esses fatores poderiam ter influenciado o comportamento da população?

2. Bacamarte era conhecido como um estudioso. Você acredita que isso contribuiu para a sua reputação e para as reações das pessoas em relação a ele?",,,,,,,,,,
R13,Crônica que eu escrevi: O Camilo morreu no final. Mas antes disso ele recebeu um bilhete do Vilela. A cartomante já tinha dito que tava tudo certo. Então ele conheceu a Rita primeiro de tudo. Aí ele foi na casa do amigo.,"Você conseguiu criar uma história envolvente com personagens e um bom desenvolvimento da trama, mesmo que seja muito breve.

1. Como você poderia fazer a história mais detalhada? Quais são os próximos passos do Camilo?

2. Você gostaria de incluir mais elementos sobre o Vilela e Rita para tornar a história ainda mais interessante?",,,,,,,,,,
R14,"Reconto de O Homem Nu: Naquela manhã, o homem tirou a roupa para tomar banho. Enquanto o café passava, ouviu a campainha e, distraído, abriu a porta. Nesse instante, ela bateu atrás dele e o deixou nu no corredor. Sem saída, desceu pelo elevador; logo depois, percebeu que a confusão só aumentava.","O texto retrata bem a sequência dos eventos e a dinâmica da história, usando pronominalização ambígua para criar um sentido de proximidade.

1. Como você pode usar os marcadores temporais no seu próprio relato de uma situação?

2. Qual palavra ou frase poderia ser usada em vez de 'confusão' que também transmitisse o mesmo sentimento?",,,,,,,,,,
R15,"Sobre O Alienista: Simão Bacamarte fundou a Casa Verde para estudar a loucura. No início, internava apenas casos extremos; depois, passou a recolher quase toda a cidade. Como a teoria não se sustentava, ele inverteu o critério e libertou os internos. Por fim, restou um único louco aos seus próprios olhos: ele mesmo.","O texto é bem estruturado com uma sequência lógica de eventos importantes sobre a Casa Verde.

1. Como o critério para internar pessoas mudou ao longo do tempo?

2. Por que Simão Bacamarte finalmente considerou-se louco?",,,,,,,,,,
R16,Sobre A Moça Tecelã: A moça teceu o marido com o tear. Ela queria companhia. Quando ele chegou ele pediu mais coisas pra ela. Ela teceu pra ele um palácio. Aí ela desfez ele e ela ficou livre. Ela gostava dela mesma de novo.,"A moça teceu o marido com o tear, demonstrando habilidade e determinação. Seu desejo por companhia é bem retratado na sequência da história.

1. Como você acha que as habilidades da moça poderiam ser comparadas às de um programador?

2. Se o marido fosse uma condição, como seria a lógica para desfehá-lo?",,,,,,,,,,
R17,"No conto O Alienista, o Simão Bacamarte prendeu o barbeiro porque ele achava que ele era louco e ele queria provar a teoria dele pra ele, mas no fim ele soltou ele e ele ficou confuso.","Você demonstrou bom entendimento do conto e sua estrutura principal.

1. O que você acha que o Simão Bacamarte estava tentando provar com a prisão do barbeiro?

2. Por que você acredita que ele soltou o barbeiro no final?",,,,,,,,,,
R18,"Sobre O Alienista: Simão Bacamarte fundou a Casa Verde para estudar a loucura. No início, internava apenas casos extremos; depois, passou a recolher quase toda a cidade. Como a teoria não se sustentava, ele inverteu o critério e libertou os internos. Por fim, restou um único louco aos seus próprios olhos: ele mesmo.","O texto tem uma estrutura clara e segue bem a linha do enredo da história. Você usou vocabulário variado como 'extremos', 'cidades' e 'louco'. Também demonstrou bom entendimento dos eventos na Casa Verde.

1. Como você acha que Simão Bacamarte poderia ter feito uma teoria mais sólida para a Casa Verde?

2. Por que você acredita que ele finalmente se tornou o único louco?",,,,,,,,,,
R19,"Eu gostei muito do conto A Cartomante porque ele é triste, portanto eu ri bastante nas partes do meio. Embora o final seja chocante, mas era óbvio que ia acontecer aquilo.","Você demonstrou uma boa compreensão do conto e sua reação ao mesmo. Isso é um ponto forte.

1. Como você acha que o final chocante impacta seu entendimento do conto?

2. Se pudesse, qual parte do conto você gostaria de ver escrita de outra forma?",,,,,,,,,,
R20,Resumo de O Alienista: A Casa Verde era o lugar onde os loucos ficavam. A Casa Verde foi feita pelo Bacamarte. A Casa Verde assustava o povo. A Casa Verde ficava cheia. No final a Casa Verde foi esvaziada porque a Casa Verde não fazia mais sentido.,"O texto tem uma boa estrutura com repetição lexical e conectivos contraditórios, como 'Casa Verde' que aparece várias vezes.

1. Por que a Casa Verde assustava o povo? Pode ser porque era chamada assim?

2. O Bacamarte fez a Casa Verde. Por que ele fez algo assim?",,,,,,,,,,
R21,"Sobre O Alienista: Simão Bacamarte fundou a Casa Verde para estudar a loucura. No início, internava apenas casos extremos; depois, passou a recolher quase toda a cidade. Como a teoria não se sustentava, ele inverteu o critério e libertou os internos. Por fim, restou um único louco aos seus próprios olhos: ele mesmo.","O texto é claro sobre as ações de Simão Bacamarte na Casa Verde. Usa termos como 'extremos' e 'quase toda a cidade', que são variados.

1. Como você imagina o pensamento computacional aplicado à história de Simão Bacamarte? Poderíamos pensar em um algoritmo que classificasse os casos como loucos ou não?

2. O final do texto é intrigante. Como a teoria poderia ter se sustentado, mesmo que por um curto período?",,,,,,,,,,
R22,"No conto O Alienista, o Simão Bacamarte prendeu o barbeiro porque ele achava que ele era louco e ele queria provar a teoria dele pra ele, mas no fim ele soltou ele e ele ficou confuso.","Você demonstrou bom entendimento do conto e suas características principais.

1. O que você acha que o Simão Bacamarte estava tentando provar com a prisão do barbeiro?

2. Por que você acredita que ele soltou o barbeiro no final?",,,,,,,,,,
R23,"Eu gostei muito do conto A Cartomante porque ele é triste, portanto eu ri bastante nas partes do meio. Embora o final seja chocante, mas era óbvio que ia acontecer aquilo.","Você expressou sua opinião sobre o conto de uma forma clara e detalhada.

1. Como você acha que os sentimentos de tristeza e riso podem coexistir em um mesmo texto?

2. Pense nas partes do meio como se fossem passos de uma sequência. Como você imagina o conto se desenvolvendo?",,,,,,,,,,
R24,"Resenha de Cemitério dos Vivos: O personagem foi internado, portanto ele se sentia muito sozinho lá dentro. O lugar era horrível, mas por isso ele queria ficar. Embora ele sofresse, contudo ele continuava escrevendo, assim ele desistiu de tudo no fim.","O texto tem uma boa descrição do cenário e dos sentimentos do personagem. Usa conectivos contraditórios para mostrar a complexidade da situação.

1. Por que o personagem queria ficar no cemitério mesmo sofrendo?

2. Como a escrita do personagem pode ser vista como uma forma de resistência?",,,,,,,,,,
R25,"Resenha de Cemitério dos Vivos: O personagem foi internado, portanto ele se sentia muito sozinho lá dentro. O lugar era horrível, mas por isso ele queria ficar. Embora ele sofresse, contudo ele continuava escrevendo, assim ele desistiu de tudo no fim.","O texto mostra um personagem complexo e emocionalmente rico.

1. Como o escritor conseguiu transmitir a sensação do personagem sozinho?

2. Por que o personagem continuou escrevendo mesmo sofrendo? Pode haver uma lógica nisso?",,,,,,,,,,
R26,Crônica que eu escrevi: O Camilo morreu no final. Mas antes disso ele recebeu um bilhete do Vilela. A cartomante já tinha dito que tava tudo certo. Então ele conheceu a Rita primeiro de tudo. Aí ele foi na casa do amigo.,"Você conseguiu escrever uma crônica com um bom fluxo de ideias, mas pode melhorar a coesão e coerência para torná-la mais fluente.

1. Como você poderia conectar melhor o bilhete do Vilela à morte de Camilo?

2. Você gostaria de incluir mais detalhes sobre como Rita conheceu Camilo?",,,,,,,,,,
R27,"Reconto de O Homem Nu: Naquela manhã, o homem tirou a roupa para tomar banho. Enquanto o café passava, ouviu a campainha e, distraído, abriu a porta. Nesse instante, ela bateu atrás dele e o deixou nu no corredor. Sem saída, desceu pelo elevador; logo depois, percebeu que a confusão só aumentava.","O narrador consegue transmitir um clima de tensão com suas descrições detalhadas e o uso de conectivos contraditórios.

1. Como você acha que o personagem poderia ter respondido à situação para evitar ficar nu?

2. O elevador fazendo barulho naquele momento foi uma coincidência ou significou algo mais?",,,,,,,,,,
R28,"O Caso da Borboleta Atíria, minha parte favorita: O detetive chegou. Era de noite. A casa era grande. Tinha uma borboleta. A borboleta era rara. O homem morreu. Ninguém viu nada. O detetive achou uma pista. A pista era pequena. Todo mundo era suspeito.","Você conseguiu escrever sobre um caso intrigante envolvendo uma borboleta atíria e um detetive, demonstrando interesse pela história.

1. Como você acha que o detetive poderia ter encontrado mais pistas para resolver o caso?

2. Se fosse você o detetive, qual seria sua próxima ação?",,,,,,,,,,
R29,"Reconto de O Homem Nu: Naquela manhã, o homem tirou a roupa para tomar banho. Enquanto o café passava, ouviu a campainha e, distraído, abriu a porta. Nesse instante, ela bateu atrás dele e o deixou nu no corredor. Sem saída, desceu pelo elevador; logo depois, percebeu que a confusão só aumentava.","O texto tem uma boa estrutura de narrativa com descrições detalhadas e um bom uso da pontuação.

1. Como você imagina o que aconteceu no corredor? Pode ser algo divertido ou assustador?

2. Parece que o personagem estava distraído. Como isso pode afetar a resolução do problema?",,,,,,,,,,
R30,Resenha sobre A Cartomante: A cartomante falou pro Camilo que tava tudo bem. A cartomante leu as cartas. A cartomante sorriu pra ele. A cartomante deu certeza pra ele. Depois o Camilo foi pra casa do Vilela e morreu. A cartomante tinha errado tudo.,"O texto tem uma boa estrutura narrativa, com descrições detalhadas da cartomante.

1. A cartomante falou que estava tudo bem mesmo não sendo verdade? Por quê?

2. Por que o Camilo foi ao casa do Vilela e morreu?",,,,,,,,,,
R31,"O Caso da Borboleta Atíria, minha parte favorita: O detetive chegou. Era de noite. A casa era grande. Tinha uma borboleta. A borboleta era rara. O homem morreu. Ninguém viu nada. O detetive achou uma pista. A pista era pequena. Todo mundo era suspeito.","O texto tem boa estrutura, com detalhes sobre a casa e o detetive. Usa bem o vocabulário para descrever a borboleta.

1. Como você imagina a casa do detetive? Era grande ou pequena?

2. Por que é importante que ninguém viu nada no crime?",,,,,,,,,,
R32,Resenha sobre A Cartomante: A cartomante falou pro Camilo que tava tudo bem. A cartomante leu as cartas. A cartomante sorriu pra ele. A cartomante deu certeza pra ele. Depois o Camilo foi pra casa do Vilela e morreu. A cartomante tinha errado tudo.,"O texto tem uma estrutura boa, com um início claro e uma conclusão que ressalta a importância da leitura.

1. Como você imagina o que aconteceria se a cartomante tivesse acertado tudo?

2. Por que é importante ler entre as linhas nos livros?",,,,,,,,,,
R33,Sobre A Moça Tecelã: A moça teceu o marido com o tear. Ela queria companhia. Quando ele chegou ele pediu mais coisas pra ela. Ela teceu pra ele um palácio. Aí ela desfez ele e ela ficou livre. Ela gostava dela mesma de novo.,"A moça é muito criativa com o tear, mas também tem uma mente estratégica para resolver problemas.

1. Como a moça usou seu talento para criar um palácio? Pode ser que ela tenha usado vários tipos de tecelagem?

2. Por que a moça decidiu desfazer o marido e ficar livre? Ela estava satisfeita ou queria algo mais?",,,,,,,,,,
R34,"No conto O Alienista, o Simão Bacamarte prendeu o barbeiro porque ele achava que ele era louco e ele queria provar a teoria dele pra ele, mas no fim ele soltou ele e ele ficou confuso.","Você demonstrou bom entendimento do conto e sua estrutura principal.

1. O que você acha que o Simão Bacamarte estava tentando comprovar na teoria dele?

2. Por que você acredita que Simão Bacamarte soltou o barbeiro no final?",,,,,,,,,,
R35,Resumo de O Alienista: A Casa Verde era o lugar onde os loucos ficavam. A Casa Verde foi feita pelo Bacamarte. A Casa Verde assustava o povo. A Casa Verde ficava cheia. No final a Casa Verde foi esvaziada porque a Casa Verde não fazia mais sentido.,"O texto tem uma boa estrutura, com um início claro e uma conclusão que resume o tema.

1. Como você imagina a Casa Verde? Era grande ou pequena?

2. Por que você acha que a Casa Verde foi esvaziada no final?",,,,,,,,,,
R36,"O Caso da Borboleta Atíria, minha parte favorita: O detetive chegou. Era de noite. A casa era grande. Tinha uma borboleta. A borboleta era rara. O homem morreu. Ninguém viu nada. O detetive achou uma pista. A pista era pequena. Todo mundo era suspeito.","Você conseguiu escrever sobre um caso intrigante envolvendo a borboleta atíria e o detetive. Você também mencionou que ninguém viu nada, o que é uma boa introdução para um mistério.

1. Como você pode usar mais repetições de palavras para melhorar a coesão?

2. Você poderia adicionar mais conectivos contraditórios para dar mais dinamismo ao texto?",,,,,,,,,,
R37,Resenha sobre A Cartomante: A cartomante falou pro Camilo que tava tudo bem. A cartomante leu as cartas. A cartomante sorriu pra ele. A cartomante deu certeza pra ele. Depois o Camilo foi pra casa do Vilela e morreu. A cartomante tinha errado tudo.,"O texto tem uma estrutura boa, com várias repetições que ajudam a manter a coesão. Usa bem o vocabulário para descrever a cartomante.

1. Por que a cartomante falou pro Camilo que tudo estava bem?

2. O que você acha do fato de a cartomante ter errado tudo? Por quê?",,,,,,,,,,
R38,"Eu gostei muito do conto A Cartomante porque ele é triste, portanto eu ri bastante nas partes do meio. Embora o final seja chocante, mas era óbvio que ia acontecer aquilo.","Você expressou bem suas emoções ao ler o conto. Você notou que ele é triste e ainda assim você riu bastante nas partes do meio.

1. Como a trama do conto A Cartomante te fez sentir? Você percebeu algo sobre como as coisas acontecem no final?

2. Você notou alguma repetição de palavras ou frases que você usou ao escrever esse texto?",,,,,,,,,,
R39,Reconto de O Homem Nu: O homem ficou pelado. Ele abriu a porta. O bonde passou. A mulher dele saiu. Ele tava devendo o aluguel. O cobrador bateu. Ele se escondeu no elevador. Ficou todo mundo rindo dele na rua. Ele entrou de novo em casa.,"O texto tem boa sequência e usa repetições para manter a coesão.

1. Como o autor poderia usar conectivos contraditórios para dar mais dinamismo ao relato?

2. Poderíamos adicionar um marcador temporal no início do texto para melhorar a estrutura?",,,,,,,,,,
